game_id,game_name
1,Amoung Us
2,Angry Birds Friends
3,Aspalt 9
4,8 Ball Pool
5,Alto's Adventure
6,Banana Kong
7,Beach Buggy Racing
8,Brain Out: Can you pass it?
9,Brawl Stars
10,Call of Duty Mobile
11,Candy Crush
12,Clash of Clans
13,Clash Royale
14,Criminal Case
15,Cut the Rope
16,Dragon City
17,EA SPORTS™ FIFA 23 MOBILE
18,Fruit Ninja®
19,Garena Free Fire: Booyah Day
20,Genshin Impact
21,Geometry Dash
22,Hill Climb Racing
23,Hungry Shark Evolution
24,Kingdom Rush- Tower Defense TD
25,Lords Mobile: Kingdom Wars
26,Ludo King™
27,Minecraft
28,Mobile Legends: Bang Bang
29,Where's My Water? 2
30,My Talking Tom 2
31,NARUTO X BORUTO NINJA VOLTAGE
32,ONE PIECE Bounty Rush
33,One Punch Man - The Strongest
34,Piano Tiles 2™
35,Plants vs. Zombies™
36,Pokémon GO
37,Pou
38,Pubg Mobile
39,Rise of Kingdoms: Lost Crusade
40,Roblox
41,Shadow Fight: 4 Arena
42,SimCity BuildIt
43,State of Survival: Zombie War
44,Stumble Guys
45,Subway Surfers
46,Top Eleven: Manajer Sepak Bola
47,Traffic Rider
48,UNO!™
49,War Robots PvP Multiplayer
50,Zona Ular.io
